Company,Level,Tag,Years of Experience,Total Compensation
JPMorgan Chase,Vice President,Full Stack,25  yrs,"$231,000"
Microsoft,Principal SDE,Security,16  yrs,"$338,000"
United States Air...,NH03,Full Stack,3  yrs,"$100,000"
Peraton,Associate,DevOps,6  yrs,"$116,000"
AT&T,"L2, Step 6",Research,2  yrs,"$228,373"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Cvent,Software Engineer I,Distributed Systems (Back-End),2  yrs,"$110,000"
SSNC,L2,API Development (Back-End),8  yrs,"$146,000"
UnitedHealth Group,SG28,Data,12  yrs,"$148,000"
Kaufman Hall,Senior,Testing (SDET),7  yrs,"$150,000"
Microsoft,Principal SDE,ML / AI,10  yrs,"$425,000"
Thoughtful,Software Engineer,,N/A,N/A
Salesforce,Associate MTS,Full Stack,3  yrs,"$215,300"
Microsoft,60,DevOps,1  yr,"$203,700"
Elevance Health,L2,Data,7  yrs,"$124,800"
Microsoft,SDE II,Distributed Systems (Back-End),5  yrs,"$160,000"
N/A,-,hidden,2  yrs,"$70,000"
University of Cin...,1,DevOps,1  yr,"$100,000"
Target,L5,Web Development (Front-End),12  yrs,"$113,000"
N/A,hidden,hidden,5-10  yrs,"$100,000"
Daimler Truck,L6,Data,5  yrs,"$90,000"
Liberty Mutual,Principal Software Engineer,DevOps,14  yrs,"$200,000"
Salesforce,Associate MTS,Security,0  yrs,"$171,000"
Google,L4,Distributed Systems (Back-End),6  yrs,"$300,000"
N/A,Senior,Full Stack,3  yrs,"$93,000"
Milwaukee Tool,L2,Data,4  yrs,"$100,000"
Kohl's,L1,Data,4  yrs,"$120,000"
Block,Level 5,Mobile (iOS + Android),6  yrs,"$259,000"
Flywire,II,Full Stack,8  yrs,"$146,000"
N/A,-,hidden,6  yrs,"$125,000"
Otis,-,Embedded,1  yr,"$90,000"
Centene,L4,DevOps,5  yrs,"$102,000"
N/A,L2,Testing (SDET),3  yrs,"$48,000"
N/A,hidden,hidden,5-10  yrs,"$150,000"
January Technologies,hidden,hidden,5-10  yrs,"$195,400"
Riverside Research,-,ML / AI,10  yrs,"$160,500"
N/A,hidden,hidden,5-10  yrs,"$124,000"
Amazon,SDE II,Full Stack,7  yrs,"$235,000"
N/A,-,hidden,5  yrs,"$100,000"
Pacific Northwest...,L1,API Development (Back-End),1  yr,"$97,000"
Rivian,RIV-5,API Development (Back-End),6  yrs,"$210,000"
Anduril Industries,L4,Security,3  yrs,"$180,000"
Fortinet,P3,Security,4  yrs,"$212,500"
Freddie Mac,Associate Software Engineer 2,Full Stack,3  yrs,"$102,500"
Purdue University,L3,Web Development (Front-End),2  yrs,"$95,000"
Grant Street Group,L1,Full Stack,2  yrs,"$94,000"
SalesLoft,Senior,API Development (Back-End),10  yrs,"$180,000"
N/A,-,"Applications (Salesforce, Workday, etc)",2  yrs,"$115,000"
Lawrence Livermor...,SES.1,Full Stack,2  yrs,"$151,000"
N/A,Mid,Full Stack,4  yrs,"$220,000"
TSMC,33,Research,6  yrs,"$210,000"
Google,L3,ML / AI,5  yrs,"$140,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Shift4,L4,Full Stack,20  yrs,"$158,500"
Fidelity Investments,L4,Distributed Systems (Back-End),5  yrs,"$108,000"
ViacomCBS,L4,video streaming,12  yrs,"$243,000"
Smartsheet,Senior SE II,API Development (Back-End),14  yrs,"$397,000"
Danfoss,L3,Autonomy,5  yrs,"$132,000"
CloudKitchens,"Machine Learning Infrastructure Engineer, City Storage Systems",,N/A,N/A
Electronic Arts,SE 2,Game Development,3  yrs,"$152,000"
N/A,Senior Engineer,API Development (Back-End),11  yrs,"$160,000"
Synechron,L5,Full Stack,12  yrs,"$166,400"
Waymo,L5,ML / AI,6  yrs,"$352,000"
N/A,L4,Testing (SDET),8  yrs,"$100,000"
Amazon,SDE I,Full Stack,3  yrs,"$163,000"
Comcast,Engineer 2,Mobile (iOS + Android),3  yrs,"$120,000"
Calspan,-,Data,2  yrs,"$76,000"
The Home Depot,L1,Networking,0  yrs,"$120,000"
Thomson Reuters,TR6,Full Stack,3  yrs,"$130,000"
Hudson River Trading,L1,Data,0  yrs,"$150,000"
N/A,-,hidden,36  yrs,"$149,000"
Javis,-,Security,6  yrs,"$225,000"
Google,L4,ML / AI,7  yrs,"$349,000"
Capital One,Associate Software Eng,Data,5  yrs,"$120,000"
Facebook,E4,Architecture,3  yrs,"$202,500"
Amazon,SDE III,Testing (SDET),12  yrs,"$425,000"
F5 Networks,Senior Software Engineer,Testing (SDET),8  yrs,"$219,000"
N/A,L4,Distributed Systems (Back-End),12  yrs,"$293,200"
Microchip Technology,Software Engineer 1,Security,3  yrs,"$109,300"
Amazon,SDE I,Full Stack,3  yrs,"$156,000"
HelloFresh,Senior Software Engineer,Data,15  yrs,"$236,000"
Synopsys,68,EDA,9  yrs,"$244,585"
N/A,Junior,Full Stack,1  yr,"$82,500"
Apple,ICT4,Data,11  yrs,"$282,500"
Siemens,T7,Distributed Systems (Back-End),3  yrs,"$120,000"
Pinterest,IC14,API Development (Back-End),5  yrs,"$369,656"
Google,L5,Distributed Systems (Back-End),10  yrs,"$360,000"
Two Sigma,L1,hidden,1  yr,"$250,000"
Google,L5,Distributed Systems (Back-End),5  yrs,"$331,000"
N/A,L2,DevOps,7  yrs,"$145,000"
Uber,Staff Software Engineer,Distributed Systems (Back-End),16  yrs,"$757,000"
Zoomph,L2,Full Stack,7  yrs,"$130,000"
Capital One,Senior Lead Software Eng,Data,20  yrs,"$250,000"
Sinch,L3,Web Development (Front-End),5  yrs,"$120,000"
Bloomberg,Senior Software Engineer,Distributed Systems (Back-End),7  yrs,"$278,000"
ByteDance,L6,Distributed Systems (Back-End),7  yrs,"$680,000"
Epic,Software Developer,Full Stack,1  yr,"$125,000"
OpsCompass,L4,Full Stack,9  yrs,"$115,000"
Block,Level 6,Full Stack,12  yrs,"$670,000"
Netflix,L6,DevOps,13  yrs,"$720,000"
Indeed,L4,Distributed Systems (Back-End),16  yrs,"$498,000"
Facebook,E6,Distributed Systems (Back-End),8  yrs,"$600,000"
Rhombus Power,L3,hidden,2-4  yrs,"$100,000"
Facebook,E7,ML / AI,20  yrs,"$1,187,500"
N/A,N/A,N/A,N/A,N/A
